资源名称,下载地址,下载地址链接,类型
C语言入门经典(第5版),http://pan.baidu.com/s/1sjt6r1N,http://pan.baidu.com/s/1sjt6r1N,C/C++
Wireshark网络分析就这么简单,链接：https://pan.baidu.com/s/1z4UvotiKOIPewXGtY6NU9g  提取码：nywa,https://pan.baidu.com/s/1z4UvotiKOIPewXGtY6NU9g,其它
C语言设计视频,链接：https://pan.baidu.com/s/1SvnmUrDeLL4sgdh_fC0pYg  提取码：cr12,https://pan.baidu.com/s/1SvnmUrDeLL4sgdh_fC0pYg,C/C++
小灰算法之旅,链接：https://pan.baidu.com/s/1K7wwf1mZAh5oc2Z4UgGdCA  提取码：81gu  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1K7wwf1mZAh5oc2Z4UgGdCA,算法
现代操作系统（第三版）中文版(验证码：ozwv),https://pan.baidu.com/s/1B9b5LLQEN8Gr2LuYezB52A,https://pan.baidu.com/s/1B9b5LLQEN8Gr2LuYezB52A,电子书
Linux设备驱动开发详解,链接：https://pan.baidu.com/s/1-lehXaWoPdl5urjV1oO1Iw  提取码：tgzw,https://pan.baidu.com/s/1-lehXaWoPdl5urjV1oO1Iw,C/C++
树莓派（Raspberry Pi）实战指南 手把手教你掌握100个精彩案例 提取：iaqt,https://pan.baidu.com/s/1fxbPRwJOtVB9qWaujVDRtw,https://pan.baidu.com/s/1fxbPRwJOtVB9qWaujVDRtw,Linux
鸟哥的Linux私房菜 基础篇（第四版）,链接：https://pan.baidu.com/s/1pTrFeHA54JDMWrjPEIet7Q  提取码：bp61,https://pan.baidu.com/s/1pTrFeHA54JDMWrjPEIet7Q,Linux
Python机器学习,链接：https://pan.baidu.com/s/1Stm-ygNtXloYCFkN4zcJQg  提取码：xen8,https://pan.baidu.com/s/1Stm-ygNtXloYCFkN4zcJQg,Python
AU软件,链接：https://pan.baidu.com/s/1S_CVWsXzgf5DJJrYOKPohA  提取码：0d1f,https://pan.baidu.com/s/1S_CVWsXzgf5DJJrYOKPohA,C/C++
C++编程艺术,链接: https://pan.baidu.com/s/1eiMc9UNDvFwCyHFjy5cp0A   提取码: vhws,https://pan.baidu.com/s/1eiMc9UNDvFwCyHFjy5cp0A,C/C++
现代控制系统,链接：https://pan.baidu.com/s/1vIzbwCptY3tt75Fu-1qpaA  提取码：plvz,https://pan.baidu.com/s/1vIzbwCptY3tt75Fu-1qpaA,其它
linux命令大全,链接: https://pan.baidu.com/s/1ArOk2I0Jp3e5uJMOh6p5HQ 提取码: edhi,https://pan.baidu.com/s/1ArOk2I0Jp3e5uJMOh6p5HQ,电子书
mysql数据库视频,链接：https://pan.baidu.com/s/1UB1MfIhRp7cVexBXIj65Pw  提取码：xqqe  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1UB1MfIhRp7cVexBXIj65Pw,数据库
别告诉我你懂PPT-李治-书加配套视频,链接: https://pan.baidu.com/s/1cdtIdhdLZFBc3WqEZCoqKQ 提取码: 6666,https://pan.baidu.com/s/1cdtIdhdLZFBc3WqEZCoqKQ,PPT
the C Programming Language,链接：https://pan.baidu.com/s/10S2p9FPVxVE3ow3YydFBXw  提取码：w1av,https://pan.baidu.com/s/10S2p9FPVxVE3ow3YydFBXw,C/C++
Perl实例精解(原书第4版),链接: https://pan.baidu.com/s/15EsWyOVgxSNmwKxr4lmm8g 提取码: mt51,https://pan.baidu.com/s/15EsWyOVgxSNmwKxr4lmm8g,其它
嵌入式Linux应用完全开发手册,https://pan.baidu.com/s/1gv-MHxTYIyGllQL5VlKUYg 提取码:dq34,https://pan.baidu.com/s/1gv-MHxTYIyGllQL5VlKUYg,Linux
C++ Primer Plus 第六版,链接：https://pan.baidu.com/s/1B3WZfSoMkGx70QShNQxL3A  提取码：kx5c,https://pan.baidu.com/s/1B3WZfSoMkGx70QShNQxL3A,C/C++
高质量嵌入式Linux C编程_完整版,链接：https://pan.baidu.com/s/1XA5HS3pASjIuMMvmHCbXHQ  提取码：wzff,https://pan.baidu.com/s/1XA5HS3pASjIuMMvmHCbXHQ,C/C++
旋元佑英语语法,链接：https://pan.baidu.com/s/1IV_Pd_1vW1gOO1dlmn0qHA  提取码：vsxr,https://pan.baidu.com/s/1IV_Pd_1vW1gOO1dlmn0qHA,英语
matlab,链接：https://pan.baidu.com/s/1ydm_4DXuBhvkmVv1TluHyg  提取码：rk5x,https://pan.baidu.com/s/1ydm_4DXuBhvkmVv1TluHyg,matlab
C++学习项目,链接：https://pan.baidu.com/s/1O6l_tIDCoCxiIUJ-0vgrKg  提取码：o19l,https://pan.baidu.com/s/1O6l_tIDCoCxiIUJ-0vgrKg,C/C++
吴恩达机器学习,链接：https://pan.baidu.com/s/1x37lu7CrZccK-WPH-Yv-bA  提取码：tn6n,https://pan.baidu.com/s/1x37lu7CrZccK-WPH-Yv-bA,人工智能
Linux Shell脚本攻略（第2版）,链接：https://pan.baidu.com/s/1ZSzrM2Dopx4f76segTjh6Q  提取码：ju0i,https://pan.baidu.com/s/1ZSzrM2Dopx4f76segTjh6Q,Linux
Java后端开发相关资源PDF,链接：https://pan.baidu.com/s/1hcu1BfgLc7xVomrQ-an3jQ  提取码：dlpx,https://pan.baidu.com/s/1hcu1BfgLc7xVomrQ-an3jQ,Java
黑马程序员linux基础视频,链接：https://pan.baidu.com/s/18VCWOG4co12rPR7-SlPJyw  提取码：jr7u,https://pan.baidu.com/s/18VCWOG4co12rPR7-SlPJyw,Linux
Netty权威指南 第2版,链接：https://pan.baidu.com/s/1Le8-N4iAEosptYc_DdOVDg  提取码：o6lw,https://pan.baidu.com/s/1Le8-N4iAEosptYc_DdOVDg,Java
数据结构与算法（小甲鱼主讲）,链接: https://pan.baidu.com/s/1oM5KrD3aAtClmnLB4My4PA 提取码: rp98,https://pan.baidu.com/s/1oM5KrD3aAtClmnLB4My4PA,算法
Python学习,链接：https://pan.baidu.com/s/1UMXggAgzVoK-LalhLZjtNQ  提取码：col3,https://pan.baidu.com/s/1UMXggAgzVoK-LalhLZjtNQ,Python
python深度学习代码和数据集,链接：https://pan.baidu.com/s/1dRau78gHN1Od5UgCIL-aaA  提取码：faev,https://pan.baidu.com/s/1dRau78gHN1Od5UgCIL-aaA,Python
python数据可视化编程实战,复制这段内容后打开百度网盘手机App，操作更方便哦 链接:https://pan.baidu.com/s/1YX0sys4uJ8OuP5mhwMdUMg 提取码:0vaq,https://pan.baidu.com/s/1YX0sys4uJ8OuP5mhwMdUMg,Python
马哥运维,链接：https://pan.baidu.com/s/1qq7YLu2v00sZFa1YPcpB5A   提取码 kxwq,https://pan.baidu.com/s/1qq7YLu2v00sZFa1YPcpB5A,C/C++
数字图像处理,链接：https://pan.baidu.com/s/1Qos6uVJL94IHWnfxlc3BJw  提取码：yr7s,https://pan.baidu.com/s/1Qos6uVJL94IHWnfxlc3BJw,电子书
Modbus protocol-c,链接：https://pan.baidu.com/s/13tC9EDOuQNws-J0m8TJ7Qw  提取码：naji,https://pan.baidu.com/s/13tC9EDOuQNws-J0m8TJ7Qw,电子书
后台开发 核心技术,https://pan.baidu.com/s/1psvwwqcmLYoFed6_0pR47w(提取码：jfro),https://pan.baidu.com/s/1psvwwqcmLYoFed6_0pR47w,电子书
java8实战,链接：https://pan.baidu.com/s/1ZHeOAsuKASWzZSf5MTU7-g  提取码：2dow,https://pan.baidu.com/s/1ZHeOAsuKASWzZSf5MTU7-g,Java
机器学习_周志华,链接: https://pan.baidu.com/s/1JZ300-O-d6Nmy6n1kxmmZQ 提取码: j56g,https://pan.baidu.com/s/1JZ300-O-d6Nmy6n1kxmmZQ,人工智能
VMware_Workstation_wmb,链接：https://pan.baidu.com/s/1VFZ0BAr2Cthl35A_KW-Zqg  提取码：oq8v,https://pan.baidu.com/s/1VFZ0BAr2Cthl35A_KW-Zqg,软件
代码格式化-AStyle,链接：https://pan.baidu.com/s/190ZY6jANgPgrkCMFWNSIlw  提取码：zfzq,https://pan.baidu.com/s/190ZY6jANgPgrkCMFWNSIlw,C/C++
尚硅谷Linux运维全套视频,链接：https://pan.baidu.com/s/1r97TzigM3KaeuqbF-NGNWg  提取码：rdiq,https://pan.baidu.com/s/1r97TzigM3KaeuqbF-NGNWg,Linux
vsphere 6.5-6.7全套视频,链接：https://pan.baidu.com/s/18FQIBQkFCdU78qpxp8-kYw  提取码：h2e3,https://pan.baidu.com/s/18FQIBQkFCdU78qpxp8-kYw,其它
Linux命令行与shell脚本编程大全.第3版,链接：https://pan.baidu.com/s/193MC679YJjzohoH8vIhtDw  提取码：bwk5,https://pan.baidu.com/s/193MC679YJjzohoH8vIhtDw,Linux
Hadoop视频,链接：https://pan.baidu.com/s/1rqG1XY6pb-LInGcaGxbtdg  提取码：4nu2,https://pan.baidu.com/s/1rqG1XY6pb-LInGcaGxbtdg,大数据
Tableu desktop 2019,链接：https://pan.baidu.com/s/16nqbb3zTx_CxBI7PBgkXZw  提取码：vj3f,https://pan.baidu.com/s/16nqbb3zTx_CxBI7PBgkXZw,大数据
安卓小应用天气app附带闹钟秒表计时器（实验报告私聊）,链接：https://pan.baidu.com/s/1NVv8R9RKlkEf2v2a2GQ16A  提取码：8jey,https://pan.baidu.com/s/1NVv8R9RKlkEf2v2a2GQ16A,安卓
python进阶,链接：https://pan.baidu.com/s/1mpb3kbZLiRcjS1QzAtNxAw  提取码：sthz,https://pan.baidu.com/s/1mpb3kbZLiRcjS1QzAtNxAw,Python
人工智能课程资料,链接：https://pan.baidu.com/s/1gNAPMCNzKulInEKDreF_Og  提取码：k9up,https://pan.baidu.com/s/1gNAPMCNzKulInEKDreF_Og,人工智能
STM32F767,链接：https://pan.baidu.com/s/1gGoohYpgmncS3cNYzf7ZCg  提取码：69j7,https://pan.baidu.com/s/1gGoohYpgmncS3cNYzf7ZCg,单片机
隐藏文件夹恢复,链接：https://pan.baidu.com/s/1G37B4xqeSEfjAmjpyHD1xw  提取码：nt9g,https://pan.baidu.com/s/1G37B4xqeSEfjAmjpyHD1xw,其它
Linux学习笔记,链接：https://pan.baidu.com/s/1hagDPSrTS-DE1gj_wOi3xw  提取码：o5fj,https://pan.baidu.com/s/1hagDPSrTS-DE1gj_wOi3xw,Linux
直通BAT算法精讲,链接: https://pan.baidu.com/s/1KrFMWnHBYaidQUadZHEk4Q  密码: fm8l,https://pan.baidu.com/s/1KrFMWnHBYaidQUadZHEk4Q,算法
Shell书籍,链接：https://pan.baidu.com/s/1V_NPm_VYBGbEsh1PKj89hA  提取码：7jzc,https://pan.baidu.com/s/1V_NPm_VYBGbEsh1PKj89hA,Linux
牛客网算法,链接: https://pan.baidu.com/s/1sGwOSqc35HEW1Rakj1ryIw 提取码: ysdd,https://pan.baidu.com/s/1sGwOSqc35HEW1Rakj1ryIw,Java
嵌入式开发,链接：https://pan.baidu.com/s/1aPIheHukWF7HU9R9RsNO1g  提取码：dm6x,https://pan.baidu.com/s/1aPIheHukWF7HU9R9RsNO1g,C/C++
Gstreamer 开发文档,链接：https://pan.baidu.com/s/188tBWt0dqFuS_M4kKxJx8g  提取码：s3rp,https://pan.baidu.com/s/188tBWt0dqFuS_M4kKxJx8g,电子书
软件工程导论（第六版）,链接：https://pan.baidu.com/s/1Fqe_KDZIqWYEloomrRMkbQ  提取码：rbcd,https://pan.baidu.com/s/1Fqe_KDZIqWYEloomrRMkbQ,其它
tensorflow,链接：https://pan.baidu.com/s/1E4kw2zgk9r3ZhtMv5Ds_Gw  提取码：igrb,https://pan.baidu.com/s/1E4kw2zgk9r3ZhtMv5Ds_Gw,人工智能
sqlserver2005,链接：https://pan.baidu.com/s/1P7KI_ByECejmEI0v7P1JCA  提取码：q9iy,https://pan.baidu.com/s/1P7KI_ByECejmEI0v7P1JCA,数据库
Python,链接: https://pan.baidu.com/s/1V2om2pbhNQsAeDhC-bZ9fA 提取码: 1cmg 复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1V2om2pbhNQsAeDhC-bZ9fA,C/C++
Spring框架2016版视频,链接: https://pan.baidu.com/s/1bHMu0o6iO_7LxKXz3n6uIw 提取码: bbfp,https://pan.baidu.com/s/1bHMu0o6iO_7LxKXz3n6uIw,Java
Flask Web开发实战：入门、进阶与原理解析,链接：https://pan.baidu.com/s/16HY-mDmy57C2vaM7ExywEw  提取码：mavl,https://pan.baidu.com/s/16HY-mDmy57C2vaM7ExywEw,Python
AWS Certified Solutions Architect Study Guide Second Edition,链接: https://pan.baidu.com/s/1mFI-qKSs8bXG_bczo0y31Q 提取码: wems,https://pan.baidu.com/s/1mFI-qKSs8bXG_bczo0y31Q,其它
LK Windows Server 2008 R2管理系列教程,链接：https://pan.baidu.com/s/1GocnPG2cioiByP-UbWAXRA 提取码：j1xp,https://pan.baidu.com/s/1GocnPG2cioiByP-UbWAXRA,Linux
虚拟机,链接: https://pan.baidu.com/s/1J34PLr0i2F7Nt3_aScdlrA 提取码: kydn  PS: 更多优质资料请添加良许微信免费领取！,https://pan.baidu.com/s/1J34PLr0i2F7Nt3_aScdlrA,软件
软件开发常用词汇,https://pan.baidu.com/s/1v2EEBbOVeyZ07msHMFLgrg  提取码：geoq,https://pan.baidu.com/s/1v2EEBbOVeyZ07msHMFLgrg,英语
华清嵌入式,链接: https://pan.baidu.com/s/1yoHYkXRFHuIAbWnepHfBkQ 提取码: 1i49,https://pan.baidu.com/s/1yoHYkXRFHuIAbWnepHfBkQ,C/C++
pytorch官方教程中文版,链接：https://pan.baidu.com/s/1gZDZsCGsPfCyJ_Fbn16xQA  提取码：m1w4,https://pan.baidu.com/s/1gZDZsCGsPfCyJ_Fbn16xQA,人工智能
李航统计学习方法,链接：https://pan.baidu.com/s/1Uc0fgQZi6K8rsvwjhxR91w  提取码：vucz,https://pan.baidu.com/s/1Uc0fgQZi6K8rsvwjhxR91w,人工智能
机器学习（西瓜书）,链接：https://pan.baidu.com/s/12ltaxl4DjXupA0BW5N3XTA  提取码：8dsp,https://pan.baidu.com/s/12ltaxl4DjXupA0BW5N3XTA,人工智能
python深度学习,链接：https://pan.baidu.com/s/1xdeTlykib1XULoNjeamo3w   提取码：secc,https://pan.baidu.com/s/1xdeTlykib1XULoNjeamo3w,人工智能
30天自制操作系统,链接：https://pan.baidu.com/s/1NePdEsUa8ZLyyHnq9wRXUg  提取码：fvmo,https://pan.baidu.com/s/1NePdEsUa8ZLyyHnq9wRXUg,其它
java编程思想第四版 提取码：hmgk,链接：https://pan.baidu.com/s/1hGr7d0ciWiy-TGiDWbwOhg,https://pan.baidu.com/s/1hGr7d0ciWiy-TGiDWbwOhg,Java
编译原理,链接：https://pan.baidu.com/s/1kHs0fWwOYK1E7XfJ1WSXUw  提取码：v1c1,https://pan.baidu.com/s/1kHs0fWwOYK1E7XfJ1WSXUw,其它
Adobe CC 全家桶,链接：https://pan.baidu.com/s/1LpC8mOdKPHjjNMCBvCdubg  提取码：6x7i,https://pan.baidu.com/s/1LpC8mOdKPHjjNMCBvCdubg,UI
算法从入门到进阶PDF合集,链接: https://pan.baidu.com/s/1WLg2e5zUkuxKLmCTQ7jVwQ  密码: urq0,https://pan.baidu.com/s/1WLg2e5zUkuxKLmCTQ7jVwQ,Java
Kali Linux 高级渗透测试（原书第2版）,https://pan.baidu.com/s/1z_udAhnshLKNMV4OomhoiQ  提取码：ll7u,https://pan.baidu.com/s/1z_udAhnshLKNMV4OomhoiQ,Linux
在线考试与试卷分析系统Java/SSH/maven（提取码ivhq）,https://pan.baidu.com/s/1oEbqN0DL2CK3Al0BxPx6gQ,https://pan.baidu.com/s/1oEbqN0DL2CK3Al0BxPx6gQ,毕业设计
（尚观）嵌入式c语言视频教程（基于Linux）（实践派）,链接: https://pan.baidu.com/s/1U1D12k5El8S3XDejlFl6-A 提取码: 3x5a,https://pan.baidu.com/s/1U1D12k5El8S3XDejlFl6-A,C/C++
新概念51单片机C语言教程：入门、提高、开发、拓展全攻略,链接：https://pan.baidu.com/s/1jSFYEiPFEMCcgl1lC8ymcA  提取码：waot,https://pan.baidu.com/s/1jSFYEiPFEMCcgl1lC8ymcA,单片机
人工智能开发课程【尚学堂·百战程序员201805版】,链接：https://pan.baidu.com/s/15ys2XsZyKoM6n0FfPOsVWQ  提取码：t3c7,https://pan.baidu.com/s/15ys2XsZyKoM6n0FfPOsVWQ,人工智能
RXJava,链接: https://pan.baidu.com/s/1EvFSzUx0WV3tPzTIVRcZ6Q 提取码: eyqq 复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1EvFSzUx0WV3tPzTIVRcZ6Q,C/C++
一个IT人的修养与职业发展,链接：https://pan.baidu.com/s/1qQL-6FbyyzHGxKlL29kuAQ  提取码：p8p9,https://pan.baidu.com/s/1qQL-6FbyyzHGxKlL29kuAQ,Linux
系统结构题库,链接：https://pan.baidu.com/s/1NdGuNRxhqQZtDSDQ2b_Z6g  提取码：f3pf,https://pan.baidu.com/s/1NdGuNRxhqQZtDSDQ2b_Z6g,其它
Unix高级编程,链接：https://pan.baidu.com/s/1vQqVY4-DNE_zRl3LH5wcNQ  提取码：y7y3,https://pan.baidu.com/s/1vQqVY4-DNE_zRl3LH5wcNQ,Linux
人性的弱点,https://pan.baidu.com/s/1-53fBFnkVmLlyEBu0f2ChQ   提取码：rp0s,https://pan.baidu.com/s/1-53fBFnkVmLlyEBu0f2ChQ,电子书
微信公众平台搭建与开发揭秘,链接：https://pan.baidu.com/s/1AFA4R6TL9FtVKTXoYSbVLw  提取码：39f7,https://pan.baidu.com/s/1AFA4R6TL9FtVKTXoYSbVLw,电子书
java企业项目实战,链接：https://pan.baidu.com/s/1uJRi6aRFz7LZMVqg92eB7w  提取码：p0o1,https://pan.baidu.com/s/1uJRi6aRFz7LZMVqg92eB7w,Java
Ubuntu Linux完全入门视频教程,https://pan.baidu.com/s/1StZ8_RKaUNE4-dZOQqKPtw 提取码: ec2b,https://pan.baidu.com/s/1StZ8_RKaUNE4-dZOQqKPtw,Linux
Head First C#,链接：https://pan.baidu.com/s/1Pbn6Fwk_uy7r4LTGVO3KCg  提取码：o03k  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1Pbn6Fwk_uy7r4LTGVO3KCg,C#
职场英语速成,链接：https://pan.baidu.com/s/1PFaqn9L4w0uRXCKbcvRqPw  提取码：hzpp  复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1PFaqn9L4w0uRXCKbcvRqPw,英语
某谷数据库中间件-mycat 教程,链接：https://pan.baidu.com/s/1NLrEd2tGe274MDxyxbU7KA  提取码：peo0,https://pan.baidu.com/s/1NLrEd2tGe274MDxyxbU7KA,数据库
虚拟机,https://pan.baidu.com/s/1ldcvw7ld0XmKcaCvs5tptg      gezp,https://pan.baidu.com/s/1ldcvw7ld0XmKcaCvs5tptg,其它
方方格子工具箱,链接：https://pan.baidu.com/s/1vrdaHsZModnqWwLFATHyWA  提取码：2ckj,https://pan.baidu.com/s/1vrdaHsZModnqWwLFATHyWA,软件
高并发程序设计,链接：https://pan.baidu.com/s/1LlKFKzhlBqC570k8p2_HJg  提取码：34l0,https://pan.baidu.com/s/1LlKFKzhlBqC570k8p2_HJg,C/C++
四级音频,链接：https://pan.baidu.com/s/1B0X70ntsGls-G7UcIVQdMg  提取码：fowr,https://pan.baidu.com/s/1B0X70ntsGls-G7UcIVQdMg,英语
linux系统编程   4v4a,https://pan.baidu.com/s/1M6Pj9_iUKfWNndBSR3dFYw,https://pan.baidu.com/s/1M6Pj9_iUKfWNndBSR3dFYw,Linux
数字建模小白教程,https://pan.baidu.com/s/1Typbt8Pa0oPVl59e7c5O2g 提取码: 71du,https://pan.baidu.com/s/1Typbt8Pa0oPVl59e7c5O2g,matlab
Java-小项目,链接：https://pan.baidu.com/s/1f7jBX3zaw2WhYhbhSFUxmg  提取码：j0kx,https://pan.baidu.com/s/1f7jBX3zaw2WhYhbhSFUxmg,Java
Effective Java第三版,链接: https://pan.baidu.com/s/1s3qThY4BJKr5DgFltZQsDg  密码: 8f0f,https://pan.baidu.com/s/1s3qThY4BJKr5DgFltZQsDg,Java
计算机二级视频软件资料,链接：https://pan.baidu.com/s/1HhuYvFlWTDOrIa0XFj7ZYg  提取码：oew6,https://pan.baidu.com/s/1HhuYvFlWTDOrIa0XFj7ZYg,公开课
C Primer Plus 第六版,链接: https://pan.baidu.com/s/1ghXX_y6AQaDy86LY_CifCw 提取码: ryts,https://pan.baidu.com/s/1ghXX_y6AQaDy86LY_CifCw,电子书
python3英文教程,链接: https://pan.baidu.com/s/17fN1xjaUpw2cB_bfPfyTYw 提取码: j473 复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/17fN1xjaUpw2cB_bfPfyTYw,Python
图解TCP／IP（第5版）竹下隆史,链接：https://pan.baidu.com/s/1c0Ud6h6Q5FOREet4A4CoZw  提取码：6z9o,https://pan.baidu.com/s/1c0Ud6h6Q5FOREet4A4CoZw,电子书
玩转数据结构与算法,链接：https://pan.baidu.com/s/1HwPsqteoL6pHfP1dwCvq9Q  提取码：rjjs,https://pan.baidu.com/s/1HwPsqteoL6pHfP1dwCvq9Q,算法
千峰数据分析师入门教程,链接：https://pan.baidu.com/s/11SWT-1rnd64dGk1yqCjGdQ  提取码：l1uo,https://pan.baidu.com/s/11SWT-1rnd64dGk1yqCjGdQ,大数据
《Linux就该这么学》v0.2版本.pdf,链接：https://pan.baidu.com/s/1xOBDa7hSOGIiLBj2-ryijQ  提取码：9mc8,https://pan.baidu.com/s/1xOBDa7hSOGIiLBj2-ryijQ,电子书
SecureCRT,链接: https://pan.baidu.com/s/1s--MUzMOTGcdVHoKFL9LFA 提取码: ujjx,https://pan.baidu.com/s/1s--MUzMOTGcdVHoKFL9LFA,软件
verilog数字系统设计教程--夏宇闻,链接：https://pan.baidu.com/s/1ZwQQuzG0nlh7S_FCrAIGqA  提取码：t5y0,https://pan.baidu.com/s/1ZwQQuzG0nlh7S_FCrAIGqA,单片机
跟美国博士学编程C++特训班,https://pan.baidu.com/s/1po6M3FZgXm4gQZxRhrwRTQ  提取码：zyfw,https://pan.baidu.com/s/1po6M3FZgXm4gQZxRhrwRTQ,C/C++
Kubernetes Learning Path_Version 2.0,链接: https://pan.baidu.com/s/1bVpObqQZ3iSPadzrFDE7Wg 提取码: jfkj,https://pan.baidu.com/s/1bVpObqQZ3iSPadzrFDE7Wg,其它
linux服务器开发二-系统编程视频,链接：https://pan.baidu.com/s/1CHfibEKV2n30r121vSEi_g  提取码：qcwe,https://pan.baidu.com/s/1CHfibEKV2n30r121vSEi_g,Linux
HTTP权威指南,链接：https://pan.baidu.com/s/1FCIZJLpXgpncVfXR2PcorQ  提取码：oerz,https://pan.baidu.com/s/1FCIZJLpXgpncVfXR2PcorQ,前端
Python Web开发,链接：https://pan.baidu.com/s/1TprtpBrc4-3R6xhjxnaNOg  提取码：3i73,https://pan.baidu.com/s/1TprtpBrc4-3R6xhjxnaNOg,Python
Python爬虫全套,复制这段内容后打开百度网盘手机App，操作更方便哦 链接:https://pan.baidu.com/s/1aj_whRLuQnEYF6XKH8GImQ 提取码:6g1n,https://pan.baidu.com/s/1aj_whRLuQnEYF6XKH8GImQ,Python
Linux那些事儿,https://pan.baidu.com/s/1mYBLpHuZTEy4YmdTpiCZnQ 提取码: xiav,https://pan.baidu.com/s/1mYBLpHuZTEy4YmdTpiCZnQ,Linux
nginx docker资料  提取码 fvdb,https://pan.baidu.com/s/1pPzyQGOnpHrDNIJZV4nx4A,https://pan.baidu.com/s/1pPzyQGOnpHrDNIJZV4nx4A,Linux
吴恩达机器学习中英文字幕,链接：https://pan.baidu.com/s/1hhp_TuNwHSlsE2chPTigOQ  提取码：wgsz,https://pan.baidu.com/s/1hhp_TuNwHSlsE2chPTigOQ,人工智能
腾讯传,链接：https://pan.baidu.com/s/1sfzobZX0FfeuqvEBTF9C6Q  提取码：y24p,https://pan.baidu.com/s/1sfzobZX0FfeuqvEBTF9C6Q,电子书
某谷2018-2019linux全套,链接：https://pan.baidu.com/s/1a1F_0n3ntE_KnyXGAA7EKg  提取码：7stc,https://pan.baidu.com/s/1a1F_0n3ntE_KnyXGAA7EKg,Linux
深度学习pdf,复制这段内容后打开百度网盘手机App，操作更方便哦 链接：https://pan.baidu.com/s/1PDyPqbXfBNgbO6K_WvBz7A 提取码：M4MX,https://pan.baidu.com/s/1PDyPqbXfBNgbO6K_WvBz7A,电子书
Android（安卓）开发全套112GB教程,链接：https://pan.baidu.com/s/1DDEmOzlJqrOa027w2R1LEg  提取码：n6iw,https://pan.baidu.com/s/1DDEmOzlJqrOa027w2R1LEg,安卓
设计模式,链接: https://pan.baidu.com/s/1e3lZB0JYulvctEUAWQG_7g  密码: 0b0n,https://pan.baidu.com/s/1e3lZB0JYulvctEUAWQG_7g,Java
网易初级ui教程,链接:https://pan.baidu.com/s/1J7j2xoM6SWSSUbvSOFMkFQ  密码:1978,https://pan.baidu.com/s/1J7j2xoM6SWSSUbvSOFMkFQ,UI
清华大学华成英教授模拟电子技术 视频 教程模拟电路,链接：https://pan.baidu.com/s/1UygODJlRLwxtIFOkDBWh1Q  提取码：7nlv,https://pan.baidu.com/s/1UygODJlRLwxtIFOkDBWh1Q,单片机
java在职加薪,链接：https://pan.baidu.com/s/19EiMN8p8bR7BVVBPPSwZrQ  提取码：9i3z,https://pan.baidu.com/s/19EiMN8p8bR7BVVBPPSwZrQ,Java
python入门基础资源,链接: https://pan.baidu.com/s/1zBOJ5t1Au9mtNTaEV85eDA 提取码: d5de 复制这段内容后打开百度网盘手机App，操作更方便哦,https://pan.baidu.com/s/1zBOJ5t1Au9mtNTaEV85eDA,Python
北京尚学堂1903期_大数据_全套视频教程,链接：https://pan.baidu.com/s/1eRauYfkrH9Lyk6Z8-wuT_Q  提取码：3zra,https://pan.baidu.com/s/1eRauYfkrH9Lyk6Z8-wuT_Q,大数据
python基础教程,链接：https://pan.baidu.com/s/117BwVusPaWFDwGgv5Xf7KA  提取码：ihi2,https://pan.baidu.com/s/117BwVusPaWFDwGgv5Xf7KA,Python
android 600源码,链接：https://pan.baidu.com/s/1lNPjCQgTS2KLt5hXFYgEBg  提取码：e11z,https://pan.baidu.com/s/1lNPjCQgTS2KLt5hXFYgEBg,安卓
四级英语,链接：https://pan.baidu.com/s/1grT0acXz-FKxHgBxxFFrtA  提取码：2vhw,https://pan.baidu.com/s/1grT0acXz-FKxHgBxxFFrtA,英语
Nginx教程从入门到精通(运维生存时间),链接：https://pan.baidu.com/s/1xLIePw2_CpixA_O8lZsICA  提取码：8kco,https://pan.baidu.com/s/1xLIePw2_CpixA_O8lZsICA,Linux
白帽子讲web安全,链接：https://pan.baidu.com/s/1XtLnjCP3ifRR9X1RHIDTIg  提取码：gvtw,https://pan.baidu.com/s/1XtLnjCP3ifRR9X1RHIDTIg,其它
【IT教程网】易语言魔鬼作坊1-106课视频教程【共享完毕】,链接: https://pan.baidu.com/s/1UjIsJ58nBsXRHviptTPSZQ 提取码: b8pg,https://pan.baidu.com/s/1UjIsJ58nBsXRHviptTPSZQ,易语言
剑指offer,链接: https://pan.baidu.com/s/10cplwytJDdMIMG-xNgqJjw 提取码: ehh4,https://pan.baidu.com/s/10cplwytJDdMIMG-xNgqJjw,算法
CPU自制入门,链接: https://pan.baidu.com/s/1F7Ecyu2THoOtWBo3IcBYpQ 提取码: 1rrk,https://pan.baidu.com/s/1F7Ecyu2THoOtWBo3IcBYpQ,其它
python编程：从入门到实践   - 提取码： 0red,https://pan.baidu.com/s/1u3ceZOz8-pqshl4U7vFRkg,https://pan.baidu.com/s/1u3ceZOz8-pqshl4U7vFRkg,Python
